ID	city	category	name	address	coordinates	website	opening_hours	ypage	rating	n_reviews	phone	social	stops	tags
1	Чебоксары	Пункты выдачи	Ozon	просп. Тракторостроителей, 39Б, Чебоксары	[47.303359, 56.101941]	www.ozon.ru	'mon': 08:00-20:00, 'tue': 08:00-20:00, 'wed': 08:00-20:00, 'thu': 08:00-20:00, 'fri': 08:00-20:00, 'sat': 08:00-20:00, 'sun': 08:00-20:00	https://yandex.ru/maps/org/ozon/7663687185/?ll=47.303359%2C56.101941&z=13	4,3	3 отзыва	+7(495)232-10-00	https://ok.ru/ozon, https://t.me/ozonru, https://vk.com/ozon	"остановка Школа № 56 (252 м)
остановка Больничный комплекс (260 м)
остановка Школа № 46 (930 м)
"	Пункт выдачи
2	Чебоксары	Пункты выдачи	Ozon	Ярмарочная ул., 15, Чебоксары	[47.264497, 56.132994]	www.ozon.ru	'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00	https://yandex.ru/maps/org/ozon/238954048617/?ll=47.264733%2C56.133212&z=16	4,5	11 отзывов	+7(495)232-10-00	https://ok.ru/ozon, https://t.me/ozonru, https://vk.com/ozon	"остановка Гостиница Россия (720 м)
остановка Улица Патриса Лумумбы (880 м)
остановка Гимназическая (1,28 км)
остановка Национальная библиотека (1,33 км)
остановка Хлопчатобумажный комбинат (1,34 км)
"	Пункт выдачи
3	Чебоксары	Пункты выдачи	Ozon	ул. Академика Королёва, 2, Чебоксары	[47.197937, 56.119831]	www.ozon.ru	'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00	https://yandex.ru/maps/org/ozon/175729593486/?ll=47.197937%2C56.119831&z=14	4,4	12 отзывов	+7(996)854-44-51		"остановка Улица Академика Королёва (219 м)
остановка Улица Яноушека (430 м)
остановка Улица Эльменя (780 м)
остановка Микрорайон Садовый (1,22 км)
остановка Улица Академика В.Н. Челомея (1,44 км)
"	Пункт выдачи
4	Чебоксары	Пункты выдачи	Ozon	ул. Афанасьева, 19, Чебоксары	[47.219143, 56.152048]	www.ozon.ru	'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00	https://yandex.ru/maps/org/ozon/133875798556/?ll=47.219143%2C56.152048&z=13	4,9	23 отзыва	+7(495)232-10-00	https://ok.ru/ozon, https://vk.com/ozon	"остановка Кооперативный техникум (680 м)
остановка Улица Афанасьева (710 м)
остановка Республиканская больница (890 м)
остановка Театр юного зрителя имени М. Сеспеля (1,73 км)
"	Пункт выдачи
5	Чебоксары	Пункты выдачи	Лабиринт	просп. Ленина, 26, Чебоксары	[47.251252, 56.124713]	www.labirint.ru	'mon': 09:00-19:45, 'tue': 09:00-19:45, 'wed': 09:00-19:45, 'thu': 09:00-19:45, 'fri': 09:00-19:45, 'sat': 09:00-19:45, 'sun': 09:00-18:45	https://yandex.ru/maps/org/labirint/1359478848/?ll=47.251252%2C56.124713&z=13	4,4	8 отзывов	8(800)600-95-25 {Продавец}, 8(800)500-95-25 {Продавец}, +7(495)745-95-25, +7(987)127-65-30 {продавец}	http://ok.ru/labirintru, http://vk.com/labirint_ru, https://www.youtube.com/user/labirintruTV	"остановка Кинотеатр Мир Луксор (69 м)
остановка Русский драмтеатр (370 м)
остановка Торговый комплекс Центральный (390 м)
остановка Гимназическая (450 м)
остановка ТК Центральный (620 м)
"	Пункт выдачи
6	Чебоксары	Пункты выдачи	Wildberries	ул. Космонавта Андрияна Григорьевича Николаева, 47, Чебоксары	[47.279412, 56.127636]	www.wildberries.ru	'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00	https://yandex.ru/maps/org/wildberries/27350344998/?ll=47.279412%2C56.127636&z=14	4,3	19 отзывов		http://youtube.com/Wildberriesshop, https://ok.ru/wildberries, https://vk.com/club9695053	"остановка Улица 50 лет Октября (208 м)
остановка Агрегатный завод (500 м)
остановка Школа № 33 (670 м)
остановка Гостиница Россия (730 м)
остановка Завод Энергозапчасть (740 м)
"	Пункт выдачи
7	Чебоксары	Пункты выдачи	Ozon	Солнечный бул., 4А, Чебоксары	[47.320123, 56.101183]	www.ozon.ru	'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00	https://yandex.ru/maps/org/ozon/68626520880/?ll=47.320123%2C56.101183&z=14	4,9	20 отзывов	+7(495)232-10-00	https://ok.ru/ozon, https://vk.com/ozon	"остановка Микрорайон Солнечный (169 м)
остановка Улица Гастелло (550 м)
остановка Улица Баумана (770 м)
остановка Школа № 56 (1,08 км)
остановка Кочаково (1,27 км)
"	Пункт выдачи
8	Чебоксары	Пункты выдачи	Wildberries	ул. Фёдора Гладкова, 30, Чебоксары	[47.237195, 56.110959]	www.wildberries.ru	'mon': 10:00-21:00, 'tue': 10:00-21:00, 'wed': 10:00-21:00, 'thu': 10:00-21:00, 'fri': 10:00-21:00, 'sat': 10:00-21:00, 'sun': 10:00-21:00	https://yandex.ru/maps/org/wildberries/234396506807/?ll=47.236975%2C56.110932&z=16	4,7	21 отзыв	+7(495)775-55-05	http://youtube.com/Wildberriesshop, https://ok.ru/wildberries, https://t.me/wildberriesru_official, https://vk.com/club9695053	"остановка Улица Строителей (81 м)
остановка По требованию (193 м)
остановка Республиканская детская больница (490 м)
остановка Госархив (810 м)
остановка Ярмарка (930 м)
"	Пункт выдачи
9	Чебоксары	Пункты выдачи	Ozon	просп. Максима Горького, 15, Чебоксары	[47.188618, 56.147929]	www.ozon.ru	'mon': 09:00-21:00, 'tue': 09:00-21:00, 'wed': 09:00-21:00, 'thu': 09:00-21:00, 'fri': 09:00-21:00, 'sat': 09:00-21:00, 'sun': 09:00-21:00	https://yandex.ru/maps/org/ozon/86693072957/?ll=47.188618%2C56.147929&z=13	4,5	12 отзывов	+7(917)067-60-89	https://ok.ru/ozon, https://vk.com/ozon	"остановка Кооперативный институт (138 м)
остановка Сквер Максима Горького (255 м)
остановка Институт образования (500 м)
остановка Улица Кривова (1,06 км)
"	Пункт выдачи
10	Чебоксары	Пункты выдачи	Ситилинк мини, пункт выдачи	просп. Ленина, 26, Чебоксары	[47.251514, 56.124802]	www.citilink.ru	'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной	https://yandex.ru/maps/org/sitilink_mini_punkt_vydachi/1397205920/?ll=47.251514%2C56.124802&z=13	4,1	1 отзыв	+7(8352)35-51-51, +7(8352)35-51-51, +7(917)654-82-33, +7(999)333-51-30, +7(495)120-37-23	https://ok.ru/citilink.ru, https://vk.com/citilink_ru, https://www.youtube.com/user/CitilinkTV	"остановка Кинотеатр Мир Луксор (12 м)
остановка Русский драмтеатр (360 м)
остановка Торговый комплекс Центральный (380 м)
остановка Гимназическая (390 м)
остановка ТК Центральный (610 м)
"	Пункт выдачи
